==6695== NVPROF is profiling process 6695, command: ./BlackScholes
==6695== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6695== Profiling application: ./BlackScholes
==6695== Profiling result:
==6695== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"sm_efficiency","Multiprocessor Activity",99.724547%,99.745343%,99.741448%
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"achieved_occupancy","Achieved Occupancy",0.468055,0.469538,0.469305
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"ipc","Executed IPC",3.593040,3.754855,3.621318
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"issued_ipc","Issued IPC",3.602584,3.752144,3.622906
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"inst_per_warp","Instructions per warp",249.000000,249.000000,249.000000
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"warp_execution_efficiency","Warp Execution Efficiency",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",43.932307%,43.932308%,43.932308%
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"inst_replay_overhead","Instruction Replay Overhead",0.000018,0.000022,0.000020
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"issue_slot_utilization","Issue Slot Utilization",83.915167%,87.398914%,84.388538%
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","BlackScholesGPU(float2*, float2*, float2*, float2*, float2*, float, float, int)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
