==20995== NVPROF is profiling process 20995, command: ./HSOpticalFlow
==20995== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==20995== Profiling application: ./HSOpticalFlow
==20995== Profiling result:
==20995== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"sm_efficiency","Multiprocessor Activity",39.691213%,40.289611%,39.990412%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"achieved_occupancy","Achieved Occupancy",0.449273,0.456719,0.452996
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"ipc","Executed IPC",0.623303,0.640348,0.631826
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"issued_ipc","Issued IPC",0.754068,0.784559,0.769313
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"inst_per_warp","Instructions per warp",55.250000,55.250000,55.250000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"warp_execution_efficiency","Warp Execution Efficiency",87.556561%,87.556561%,87.556561%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",83.314480%,83.314480%,83.314480%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"inst_replay_overhead","Instruction Replay Overhead",0.069382,0.069759,0.069570
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"issue_slot_utilization","Issue Slot Utilization",17.357375%,18.058819%,17.708097%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"gst_transactions_per_request","Global Store Transactions Per Request",3.333333,3.333333,3.333333
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"gst_transactions","Global Store Transactions",600,600,600
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"dram_read_transactions","Device Memory Read Transactions",168,168,168
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"dram_write_transactions","Device Memory Write Transactions",483,591,537
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"gst_requested_throughput","Requested Global Store Throughput",5.408770GB/s,5.458301GB/s,5.432405GB/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","UpscaleKernel(int, int, int, float, float*)",2,"gst_throughput","Global Store Throughput",5.408770GB/s,5.458301GB/s,5.432405GB/s
