==20922== NVPROF is profiling process 20922, command: ./HSOpticalFlow
==20922== Profiling application: ./HSOpticalFlow
==20922== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,us,,,,,,,,KB,B,MB,GB/s,,,,
10.673424,201.411000,,,,,,,,,,1.171875,5.681960,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
10.673746,200.100000,,,,,,,,,,1.171875,5.719186,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
10.673972,18.145000,10,30,1,32,8,1,16,0.000000,0,,,"GeForce GTX 950 (0)","1","7","DownscaleKernel(int, int, int, float*) [229]"
10.673994,17.824000,10,30,1,32,8,1,16,0.000000,0,,,"GeForce GTX 950 (0)","1","7","DownscaleKernel(int, int, int, float*) [237]"
10.674157,6.176000,5,15,1,32,8,1,16,0.000000,0,,,"GeForce GTX 950 (0)","1","7","DownscaleKernel(int, int, int, float*) [247]"
10.674171,4.448000,5,15,1,32,8,1,16,0.000000,0,,,"GeForce GTX 950 (0)","1","7","DownscaleKernel(int, int, int, float*) [255]"
10.674331,2.752000,3,8,1,32,8,1,16,0.000000,0,,,"GeForce GTX 950 (0)","1","7","DownscaleKernel(int, int, int, float*) [265]"
10.674345,2.433000,3,8,1,32,8,1,16,0.000000,0,,,"GeForce GTX 950 (0)","1","7","DownscaleKernel(int, int, int, float*) [273]"
10.674509,2.240000,2,4,1,32,8,1,16,0.000000,0,,,"GeForce GTX 950 (0)","1","7","DownscaleKernel(int, int, int, float*) [283]"
10.674524,1.921000,2,4,1,32,8,1,16,0.000000,0,,,"GeForce GTX 950 (0)","1","7","DownscaleKernel(int, int, int, float*) [291]"
10.674531,13.952000,,,,,,,,,,1.171875,82.024741,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
10.674547,15.424000,,,,,,,,,,1.171875,74.196653,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
10.674564,15.072000,,,,,,,,,,1.171875,75.929484,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
10.674581,14.913000,,,,,,,,,,1.171875,76.739032,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
10.674598,14.688000,,,,,,,,,,1.171875,77.914568,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
10.674615,15.296000,,,,,,,,,,1.171875,74.817546,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
10.674635,3.232000,2,5,1,32,6,1,14,0.000000,0,,,"GeForce GTX 950 (0)","1","7","WarpingKernel(int, int, int, float const *, float const *, float*) [307]"
10.674640,4.321000,2,5,1,32,6,1,20,0.000000,0,,,"GeForce GTX 950 (0)","1","7","ComputeDerivativesKernel(int, int, int, float*, float*, float*) [318]"
10.674647,3.968000,2,5,1,32,6,1,20,2.125000,0,,,"GeForce GTX 950 (0)","1","7","void JacobiIteration<int=32, int=6>(float const *, float const *, float const *, float const *, float const *, int, int, int, float, float*, float*) [331]"
10.674653,2.336000,2,5,1,32,6,1,20,2.125000,0,,,"GeForce GTX 950 (0)","1","7","void JacobiIteration<int=32, int=6>(float const *, float const *, float const *, float const *, float const *, int, int, int, float, float*, float*) [344]"
10.674658,2.336000,2,5,1,32,6,1,20,2.125000,0,,,"GeForce GTX 950 (0)","1","7","void JacobiIteration<int=32, int=6>(float const *, float const *, float const *, float const *, float const *, int, int, int, float, float*, float*) [357]"
