==15040== NVPROF is profiling process 15040, command: ./eigenvalues
==15040== Profiling application: ./eigenvalues
==15040== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,KB,GB/s,,,,
574.540242,0.001696,,,,,,,,,,8.000000,4.498464,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.550578,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.730355,0.001089,,,,,,,,,,0.003906,0.003421,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.741364,0.000608,,,,,,,,,,0.003906,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.767188,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.775892,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.785940,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.795540,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.805204,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.814612,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.824116,0.001632,,,,,,,,,,8.000000,4.674874,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.833812,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.843508,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.852980,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.862292,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
574.892372,3.247731,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [254]"
578.152455,0.001600,,,,,,,,,,0.003906,0.002328,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
578.172296,3.963799,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [267]"
582.148607,0.001632,,,,,,,,,,0.003906,0.002283,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
582.170655,8.655666,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [284]"
