==6357== NVPROF is profiling process 6357, command: ./concurrentKernels
==6357== Profiling application: ./concurrentKernels
==6357== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,B,B,MB/s,,,,
575.675004,11.558800,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","13","clock_block(long*, long) [231]"
575.685468,11.629616,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","14","clock_block(long*, long) [237]"
575.693404,11.558256,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","15","clock_block(long*, long) [243]"
575.701116,11.629616,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","16","clock_block(long*, long) [249]"
575.708796,11.558128,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","17","clock_block(long*, long) [255]"
575.716124,11.629488,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","18","clock_block(long*, long) [261]"
575.723164,11.557968,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","19","clock_block(long*, long) [267]"
575.730492,11.629297,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","20","clock_block(long*, long) [273]"
587.364109,0.002624,1,1,1,32,1,1,8,256,0,,,"GeForce GTX 950 (0)","1","21","sum(long*, int) [279]"
587.374573,0.001728,,,,,,,,,,8,4.415158,"GeForce GTX 950 (0)","1","21","[CUDA memcpy DtoH]"
