==19029== NVPROF is profiling process 19029, command: ./convolutionFFT2D
==19029== Profiling application: ./convolutionFFT2D
==19029== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
0.913586,0.001056,,,,,,,,,,0.000160,0.148165,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.913737,2.657357,,,,,,,,,,15.258789,5.607512,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.916398,0.175969,,,,,,,,,,16.000000,88.794049,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
0.916576,0.173921,,,,,,,,,,16.000000,89.839640,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
0.916757,0.002432,1,1,1,32,8,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","padKernel_kernel(float*, float*, int, int, int, int, int, int) [745]"
0.916762,0.380770,64,256,1,32,8,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","padDataClampToBorder_kernel(float*, float*, int, int, int, int, int, int, int, int) [759]"
0.917145,0.377506,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [763]"
0.917525,0.378818,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [768]"
0.917907,0.374562,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 950 (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [773]"
0.918284,0.365794,4096,1,1,256,1,1,26,0.000000,0,,,"GeForce GTX 950 (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex24postprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [778]"
0.918691,0.382402,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [783]"
0.919079,0.381474,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [788]"
0.919463,0.373314,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 950 (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [793]"
0.919839,0.365986,4096,1,1,256,1,1,26,0.000000,0,,,"GeForce GTX 950 (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex24postprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [798]"
0.920207,0.526787,8200,1,1,256,1,1,10,0.000000,0,,,"GeForce GTX 950 (0)","1","7","modulateAndNormalize_kernel(float2*, float2*, int, float) [805]"
0.920736,0.370466,4096,1,1,256,1,1,32,0.000000,0,,,"GeForce GTX 950 (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex23preprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [809]"
0.921109,0.380226,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [813]"
0.921492,0.380034,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [818]"
0.921874,0.373410,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 950 (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [823]"
0.922274,3.705971,,,,,,,,,,16.000000,4.216169,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
1.808199,2.685358,,,,,,,,,,15.258789,5.549041,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
1.810893,0.000640,,,,,,,,,,0.000160,0.244472,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
1.810917,0.178721,,,,,,,,,,16.000000,87.426771,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
1.811098,0.173664,,,,,,,,,,16.000000,89.972591,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
1.811274,0.381218,64,256,1,32,8,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","padDataClampToBorder_kernel(float*, float*, int, int, int, int, int, int, int, int) [951]"
1.811662,0.002016,1,1,1,32,8,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","padKernel_kernel(float*, float*, int, int, int, int, int, int) [963]"
1.811666,0.374530,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [967]"
1.812043,0.374210,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [972]"
