==18905== NVPROF is profiling process 18905, command: ./convolutionFFT2D
==18905== Profiling application: ./convolutionFFT2D
==18905== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
0.911337,0.001088,,,,,,,,,,0.000160,0.143807,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.911494,2.660664,,,,,,,,,,15.258789,5.600542,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.914159,0.175778,,,,,,,,,,16.000000,88.890532,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
0.914336,0.174049,,,,,,,,,,16.000000,89.773570,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
0.914517,0.002432,1,1,1,32,8,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","padKernel_kernel(float*, float*, int, int, int, int, int, int) [745]"
0.914522,0.382596,64,256,1,32,8,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","padDataClampToBorder_kernel(float*, float*, int, int, int, int, int, int, int, int) [759]"
0.914907,0.377315,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [763]"
0.915287,0.384643,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [768]"
0.915674,0.373508,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 950 (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [773]"
0.916051,0.367523,4096,1,1,256,1,1,26,0.000000,0,,,"GeForce GTX 950 (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex24postprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [778]"
0.916455,0.381604,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [783]"
0.916842,0.383939,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [788]"
0.917229,0.374308,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 950 (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [793]"
0.917606,0.366179,4096,1,1,256,1,1,26,0.000000,0,,,"GeForce GTX 950 (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex24postprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [798]"
0.917974,0.526724,8200,1,1,256,1,1,10,0.000000,0,,,"GeForce GTX 950 (0)","1","7","modulateAndNormalize_kernel(float2*, float2*, int, float) [805]"
0.918504,0.369796,4096,1,1,256,1,1,32,0.000000,0,,,"GeForce GTX 950 (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex23preprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [809]"
0.918876,0.380387,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [813]"
0.919259,0.379812,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 950 (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [818]"
0.919641,0.373699,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 950 (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [823]"
0.920044,3.765025,,,,,,,,,,16.000000,4.150039,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
1.804090,2.696408,,,,,,,,,,15.258789,5.526301,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
1.806796,0.000640,,,,,,,,,,0.000160,0.244472,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
1.806819,0.179266,,,,,,,,,,16.000000,87.160979,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
1.807001,0.173505,,,,,,,,,,16.000000,90.055042,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
1.807177,0.382916,64,256,1,32,8,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","padDataClampToBorder_kernel(float*, float*, int, int, int, int, int, int, int, int) [951]"
1.807566,0.001984,1,1,1,32,8,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","padKernel_kernel(float*, float*, int, int, int, int, int, int) [963]"
