==6994== NVPROF is profiling process 6994, command: ./dct8x8
==6994== Profiling application: ./dct8x8
==6994== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,KB,B,MB,GB/s,,,,
727.398251,169.409000,,,,,,,,,,1.000000,5.764525,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoA]"
727.574092,142.465000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [215]"
727.734605,141.473000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [222]"
727.890702,141.537000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [229]"
728.045839,141.601000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [236]"
728.201808,141.697000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [243]"
728.357713,141.857000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [250]"
728.513618,141.377000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [257]"
728.668403,141.441000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [264]"
728.823188,141.505000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [271]"
728.978933,141.345000,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [278]"
729.133526,51.488000,64,64,1,8,8,1,13,0.000000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernelQuantizationFloat(float*, int) [285]"
729.188982,25.408000,,,,,,,,,,1.000000,38.435237,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoA]"
729.216886,148.769000,64,64,1,8,8,1,18,0.500000,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel1IDCT(float*, int, int, int) [295]"
729.367255,166.177000,,,,,,,,,,1.000000,5.876641,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
733.770609,169.505000,,,,,,,,,,1.000000,5.761261,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
733.945106,21.184000,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel2DCT(float*, float*, int) [308]"
733.978066,22.720000,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel2DCT(float*, float*, int) [315]"
734.002994,22.785000,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel2DCT(float*, float*, int) [321]"
734.027955,22.944000,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel2DCT(float*, float*, int) [327]"
734.053107,22.816000,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel2DCT(float*, float*, int) [333]"
734.078067,23.136000,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel2DCT(float*, float*, int) [339]"
734.103411,22.784000,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel2DCT(float*, float*, int) [345]"
734.128339,23.136000,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel2DCT(float*, float*, int) [351]"
734.153651,23.232000,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 950 (0)","1","7","CUDAkernel2DCT(float*, float*, int) [357]"
