==14015== NVPROF is profiling process 14015, command: ./eigenvalues
==14015== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14015== Profiling application: ./eigenvalues
==14015== Profiling result:
==14015== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"sm_efficiency","Multiprocessor Activity",81.093873%,81.679377%,81.419361%
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"achieved_occupancy","Achieved Occupancy",0.214170,0.214515,0.214342
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"ipc","Executed IPC",1.381091,1.385011,1.383132
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"issued_ipc","Issued IPC",1.381350,1.384900,1.383193
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"inst_per_warp","Instructions per warp",794667.215909,794667.215909,794667.215909
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"branch_efficiency","Branch Efficiency",99.970551%,99.970551%,99.970551%
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"warp_execution_efficiency","Warp Execution Efficiency",91.245194%,91.245194%,91.245194%
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",88.679416%,88.679417%,88.679417%
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"inst_replay_overhead","Instruction Replay Overhead",0.000003,0.000003,0.000003
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"issue_slot_utilization","Issue Slot Utilization",28.798058%,28.872067%,28.836479%
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.002439,1.002439,1.002439
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.111699,1.111699,1.111699
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"gld_transactions_per_request","Global Load Transactions Per Request",7.991565,7.991565,7.991565
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"gst_transactions_per_request","Global Store Transactions Per Request",4.478261,4.478261,4.478261
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"shared_store_transactions","Shared Store Transactions",47066,47066,47066
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"shared_load_transactions","Shared Load Transactions",3877585,3877585,3877585
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"gld_transactions","Global Load Transactions",184741,184741,184741
"GeForce GTX 950 (0)","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float)",100,"gst_transactions","Global Store Transactions",618,618,618
