==13999== NVPROF is profiling process 13999, command: ./eigenvalues
==13999== Profiling application: ./eigenvalues
==13999== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,KB,GB/s,,,,
0.578195,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578206,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578397,0.001056,,,,,,,,,,0.003906,0.003528,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578409,0.000640,,,,,,,,,,0.003906,0.005821,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578434,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578442,0.001632,,,,,,,,,,8.000000,4.674874,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578452,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578461,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578471,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578481,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578490,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578499,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578508,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578518,0.001664,,,,,,,,,,8.000000,4.584973,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578527,0.001696,,,,,,,,,,8.000000,4.498464,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.578557,3.253241,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [254]"
0.581822,0.001632,,,,,,,,,,0.003906,0.002283,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.581842,3.965823,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [267]"
0.585818,0.001632,,,,,,,,,,0.003906,0.002283,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.585839,8.643203,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [284]"
0.594505,3.249114,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [307]"
0.597766,0.001312,,,,,,,,,,0.003906,0.002839,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.597784,3.963583,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [320]"
0.601758,0.001568,,,,,,,,,,0.003906,0.002376,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.601777,8.600963,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [337]"
0.610401,3.250394,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [360]"
0.613663,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.613681,3.963807,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [373]"
0.617655,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.617672,8.654660,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [390]"
0.626378,3.249850,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [413]"
0.629649,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.629669,3.963839,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [426]"
0.633644,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.633664,8.603491,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [443]"
0.642289,3.252730,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [466]"
0.645554,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.645571,3.964863,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [479]"
0.649548,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.649567,8.644420,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [496]"
0.658227,3.250361,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [519]"
0.661486,0.001312,,,,,,,,,,0.003906,0.002839,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.661503,3.963135,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [532]"
0.665476,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.665494,8.603715,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [549]"
0.674113,3.252217,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [572]"
0.677375,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.677392,3.962686,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [585]"
0.681364,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.681381,8.659331,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [602]"
0.690057,3.251322,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [625]"
0.693320,0.001312,,,,,,,,,,0.003906,0.002839,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.693336,3.965983,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [638]"
0.697315,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.697334,8.607651,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [655]"
0.705961,3.253145,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [678]"
0.709230,0.001344,,,,,,,,,,0.003906,0.002772,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.709251,3.967007,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [691]"
0.713234,0.001312,,,,,,,,,,0.003906,0.002839,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.713257,8.659267,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [708]"
0.721954,3.142296,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [731]"
0.725117,0.001280,,,,,,,,,,0.003906,0.002910,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.725141,3.557148,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [744]"
0.728711,0.001280,,,,,,,,,,0.003906,0.002910,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.728732,7.801789,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [761]"
0.736565,2.917686,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [784]"
0.739499,0.001280,,,,,,,,,,0.003906,0.002910,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.739519,3.557179,1,1,1,256,1,1,31,2.003906,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_OneIntervals(float*, float*, unsigned int, unsigned int, float*, float*, unsigned int*, float) [797]"
0.743090,0.001280,,,,,,,,,,0.003906,0.002910,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
0.743110,7.849949,11,1,1,256,1,1,35,10.031250,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge_MultIntervals(float*, float*, unsigned int, unsigned int*, unsigned int*, float*, float*, unsigned int*, unsigned int*, float*, unsigned int*, float) [814]"
0.750979,2.918199,1,1,1,256,1,1,38,8.046875,0,,,"GeForce GTX 950 (0)","1","7","bisectKernelLarge(float*, float*, unsigned int, float, float, unsigned int, unsigned int, float, unsigned int*, unsigned int*, float*, float*, unsigned int*, float*, float*, unsigned int*, unsigned int*, unsigned int*, unsigned int*) [837]"
