==19527== NVPROF is profiling process 19527, command: ./fastWalshTransform
==19527== Profiling application: ./fastWalshTransform
==19527== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,KB,MB,GB/s,,,,
681.627839,0.346082,,,,,,,,,,32.000000,90.296519,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
681.981761,0.000960,,,,,,,,,,0.000488,0.496705,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
682.130466,5.597226,,,,,,,,,,32.000000,5.583123,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
687.764524,0.722438,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [214]"
688.489170,0.724645,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [220]"
689.216151,0.728870,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [226]"
689.947165,0.746373,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [232]"
690.695714,0.719558,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [238]"
691.417416,0.716869,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [244]"
692.136685,1.278698,4096,1,1,512,1,1,16,0,8.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch1Kernel(float*, float*, int) [250]"
693.417559,0.722437,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [256]"
694.142204,0.724933,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [262]"
694.869281,0.730310,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [268]"
695.601735,0.745989,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [274]"
696.349868,0.719782,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [280]"
697.071826,0.717797,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [286]"
697.791799,1.275690,4096,1,1,512,1,1,16,0,8.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch1Kernel(float*, float*, int) [292]"
699.069921,1.272233,128,1,1,256,1,1,12,0,0.000000,,,"GeForce GTX 950 (0)","1","7","modulateKernel(float*, float*, int) [298]"
700.344298,0.721093,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [303]"
701.067504,0.723909,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [309]"
701.793557,0.728197,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [315]"
702.523930,0.747750,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [321]"
703.273824,0.719173,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [327]"
703.995141,0.717510,8192,1,1,256,1,1,18,0,0.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch2Kernel(float*, float*, int) [333]"
704.714827,1.281321,4096,1,1,512,1,1,16,0,8.000000,,,"GeForce GTX 950 (0)","1","7","fwtBatch1Kernel(float*, float*, int) [339]"
706.027092,7.080309,,,,,,,,,,32.000000,4.413649,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoH]"
