==22726== NVPROF is profiling process 22726, command: ./histogram
==22726== Profiling application: ./histogram
==22726== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
1.561247,11.236205,,,,,,,,,,64.000000,5.562376,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
1.572589,1.353606,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [213]"
1.573945,0.044864,64,1,1,256,1,1,15,1.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeHistogram64Kernel(unsigned int*, unsigned int*, unsigned int) [219]"
1.574007,1.351205,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [226]"
1.575360,0.039904,64,1,1,256,1,1,15,1.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeHistogram64Kernel(unsigned int*, unsigned int*, unsigned int) [232]"
1.575402,1.350374,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [238]"
1.576755,0.041056,64,1,1,256,1,1,15,1.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeHistogram64Kernel(unsigned int*, unsigned int*, unsigned int) [244]"
1.576798,1.351205,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [250]"
1.578152,0.041856,64,1,1,256,1,1,15,1.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeHistogram64Kernel(unsigned int*, unsigned int*, unsigned int) [256]"
1.578196,1.350342,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [262]"
1.579548,0.039904,64,1,1,256,1,1,15,1.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeHistogram64Kernel(unsigned int*, unsigned int*, unsigned int) [268]"
1.579590,1.351941,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [274]"
1.580944,0.040832,64,1,1,256,1,1,15,1.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeHistogram64Kernel(unsigned int*, unsigned int*, unsigned int) [280]"
1.580987,1.351078,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [286]"
1.582340,0.041088,64,1,1,256,1,1,15,1.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeHistogram64Kernel(unsigned int*, unsigned int*, unsigned int) [292]"
1.582384,1.350405,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [298]"
1.583736,0.041441,64,1,1,256,1,1,15,1.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeHistogram64Kernel(unsigned int*, unsigned int*, unsigned int) [304]"
1.583780,1.351205,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [310]"
1.585133,0.040448,64,1,1,256,1,1,15,1.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeHistogram64Kernel(unsigned int*, unsigned int*, unsigned int) [316]"
1.585176,1.350693,4370,1,1,64,1,1,21,4.000000,0,,,"GeForce GTX 950 (0)","1","7","histogram64Kernel(unsigned int*, uint4*, unsigned int) [322]"
