==27333== NVPROF is profiling process 27333, command: ./interval
==27333== Profiling application: ./interval
==27333== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,B,MB,GB/s,,,,
576.996273,2.343426,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [218]"
579.342323,2.349218,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [225]"
581.693717,2.348930,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [232]"
584.045079,2.345154,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [239]"
586.392409,2.350723,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [246]"
588.745564,2.346242,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [253]"
591.094238,2.347266,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [260]"
593.443936,2.348770,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [267]"
595.794850,2.345826,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [274]"
598.142852,2.350595,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [281]"
600.495879,2.339490,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [288]"
602.837545,2.336994,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [295]"
605.176971,2.336482,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [302]"
607.515629,2.336322,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [309]"
609.854383,2.357027,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [316]"
612.213842,2.351202,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [323]"
614.567220,2.337634,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [330]"
616.907286,2.348834,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [337]"
619.258296,2.350339,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [344]"
621.610811,2.345026,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [351]"
623.958013,2.337634,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [358]"
626.298079,2.336994,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [365]"
628.637217,2.350018,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [372]"
630.989379,2.349059,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [379]"
633.340614,2.344674,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [386]"
635.687464,2.343618,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [393]"
638.033226,2.352290,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [400]"
640.387660,2.355074,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [407]"
642.745166,2.341571,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [414]"
645.089169,2.335842,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [421]"
647.427155,2.353090,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [428]"
649.782677,2.338882,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [435]"
652.123991,2.353058,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [442]"
654.479481,2.339395,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [449]"
656.821276,2.336354,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [456]"
659.160062,2.340674,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [463]"
661.503168,2.345698,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [470]"
663.851298,2.335362,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [477]"
666.188836,2.339491,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [484]"
668.530759,2.335842,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [491]"
670.869033,2.337954,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [498]"
673.209419,2.341506,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [505]"
675.553389,2.344770,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [512]"
677.900591,2.336131,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [519]"
680.239154,2.338978,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [526]"
682.580564,2.335234,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [533]"
684.918262,2.339362,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [540]"
687.259800,2.337347,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [547]"
689.599323,2.353922,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [554]"
691.955677,2.355042,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [561]"
694.312863,2.336194,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [568]"
696.651297,2.338018,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [575]"
698.991491,2.340291,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [582]"
701.333958,2.338626,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [589]"
703.675016,2.353986,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [596]"
706.031466,2.336674,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [603]"
708.370732,2.339650,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [610]"
710.712846,2.348579,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [617]"
713.063601,2.339138,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [624]"
715.405171,2.339074,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [631]"
717.746389,2.336706,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [638]"
720.085527,2.351458,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [645]"
722.439417,2.339491,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [652]"
724.781308,2.341890,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [659]"
727.125406,2.336866,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [666]"
729.464736,2.347682,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [673]"
731.814850,2.335266,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [680]"
734.152548,2.335331,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [687]"
736.490311,2.351170,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [694]"
738.843657,2.556802,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [701]"
741.402827,2.118178,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [708]"
743.523021,2.114978,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [715]"
745.640015,2.122786,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [722]"
747.765105,2.117890,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [729]"
749.885267,2.135426,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [736]"
752.022709,2.136738,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [743]"
754.161463,2.117442,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [750]"
756.281177,2.121058,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [757]"
758.404251,2.121154,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [764]"
760.527677,2.115746,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [771]"
762.645439,2.117474,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [778]"
764.765185,2.132386,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [785]"
766.899587,2.117826,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [792]"
769.019429,2.120930,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [799]"
771.142631,2.121858,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [806]"
773.266793,2.117954,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [813]"
775.386763,2.117570,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [820]"
777.506605,2.133282,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [827]"
779.642159,2.115682,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [834]"
781.759857,2.120034,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [841]"
783.882163,2.118530,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [848]"
786.002965,2.112610,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [855]"
788.117847,2.121314,1024,1,1,64,1,1,78,0,0,,,"GeForce GTX 950 (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [862]"
