==12568== NVPROF is profiling process 12568, command: ./lineOfSight
==12568== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12568== Profiling application: ./lineOfSight
==12568== Profiling result:
==12568== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"sm_efficiency","Multiprocessor Activity",47.324537%,60.568249%,52.097948%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"achieved_occupancy","Achieved Occupancy",0.735158,0.764886,0.747835
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"ipc","Executed IPC",0.749794,1.268513,1.125201
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"issued_ipc","Issued IPC",0.704396,1.273489,1.137569
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"inst_per_warp","Instructions per warp",79.440625,79.440625,79.440625
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"warp_execution_efficiency","Warp Execution Efficiency",99.801591%,99.801837%,99.801712%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",96.114187%,96.114187%,96.114187%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"inst_replay_overhead","Instruction Replay Overhead",0.029897,0.032926,0.030218
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"issue_slot_utilization","Issue Slot Utilization",15.292725%,27.666118%,24.698079%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gst_transactions_per_request","Global Store Transactions Per Request",3.993610,3.993610,3.993610
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gst_transactions","Global Store Transactions",1250,1250,1250
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"dram_read_transactions","Device Memory Read Transactions",2343,2408,2359
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"dram_write_transactions","Device Memory Write Transactions",1388,1788,1498
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gst_requested_throughput","Requested Global Store Throughput",7.403931GB/s,8.634487GB/s,7.745810GB/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"gst_throughput","Global Store Throughput",7.404672GB/s,8.635351GB/s,7.746741GB/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"dram_read_throughput","Device Memory Read Throughput",13.943335GB/s,16.569844GB/s,14.625490GB/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"dram_write_throughput","Device Memory Write Throughput",8.436862GB/s,10.989219GB/s,9.284355GB/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"tex_cache_throughput","Unified Cache Throughput",14.809343GB/s,17.270701GB/s,15.494414GB/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","computeAngles_kernel(Ray, float*)",100,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
