==19698== NVPROF is profiling process 19698, command: ./mm16
==19698== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==19698== Profiling application: ./mm16
==19698== Profiling result:
==19698== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"sm_efficiency","Multiprocessor Activity",98.577303%,99.331337%,99.070692%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"achieved_occupancy","Achieved Occupancy",0.981270,0.983227,0.982275
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"ipc","Executed IPC",1.981573,2.009075,1.998866
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"issued_ipc","Issued IPC",1.982782,2.007322,1.999160
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"inst_per_warp","Instructions per warp",1162.000000,1162.000000,1162.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.827883%,99.827883%,99.827883%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"inst_replay_overhead","Instruction Replay Overhead",0.000155,0.000155,0.000155
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"issue_slot_utilization","Issue Slot Utilization",34.851983%,35.283329%,35.139851%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.200000,1.200000,1.200000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",301,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
