==17599== NVPROF is profiling process 17599, command: ./mm4
==17599== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17599== Profiling application: ./mm4
==17599== Profiling result:
==17599== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"sm_efficiency","Multiprocessor Activity",99.816492%,99.842764%,99.829628%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"achieved_occupancy","Achieved Occupancy",0.495553,0.495609,0.495581
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"ipc","Executed IPC",1.490718,1.499293,1.495006
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"issued_ipc","Issued IPC",1.483783,1.487457,1.485620
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"inst_per_warp","Instructions per warp",1816.000000,1816.000000,1816.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"warp_execution_efficiency","Warp Execution Efficiency",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",49.944934%,49.944934%,49.944934%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"inst_replay_overhead","Instruction Replay Overhead",0.000025,0.000025,0.000025
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"issue_slot_utilization","Issue Slot Utilization",33.723961%,33.807473%,33.765717%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.200000,1.200000,1.200000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gld_transactions_per_request","Global Load Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"shared_store_transactions","Shared Store Transactions",2048000,2048000,2048000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"shared_load_transactions","Shared Load Transactions",6144000,6144000,6144000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gld_transactions","Global Load Transactions",8192000,8192000,8192000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gst_transactions","Global Store Transactions",51200,51200,51200
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"dram_read_transactions","Device Memory Read Transactions",38255,38283,38269
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"dram_write_transactions","Device Memory Write Transactions",38281,38425,38353
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gld_requested_throughput","Requested Global Load Throughput",67.203533GB/s,68.103518GB/s,67.649409GB/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gst_requested_throughput","Requested Global Store Throughput",430.102613MB/s,435.862516MB/s,432.014465MB/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gld_throughput","Global Load Throughput",134.407067GB/s,136.207037GB/s,135.300681GB/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gst_throughput","Global Store Throughput",860.205227MB/s,871.725033MB/s,864.982605MB/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"dram_read_throughput","Device Memory Read Throughput",642.717792MB/s,651.801747MB/s,645.637512MB/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"dram_write_throughput","Device Memory Write Throughput",643.154614MB/s,654.219421MB/s,647.544861MB/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"tex_cache_throughput","Unified Cache Throughput",67.203533GB/s,68.103518GB/s,67.649409GB/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"shared_load_throughput","Shared Memory Load Throughput",403.221200GB/s,408.621110GB/s,405.902043GB/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"shared_store_throughput","Shared Memory Store Throughput",134.407067GB/s,136.207037GB/s,135.300681GB/s
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gld_efficiency","Global Memory Load Efficiency",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"gst_efficiency","Global Memory Store Efficiency",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"tex_cache_transactions","Unified Cache Transactions",4096000,4096000,4096000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (3)","Mid (4)","Low (3)"
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"flop_count_sp","Floating Point Operations(Single Precision)",131072000,131072000,131072000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",65536000,65536000,65536000
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 950 (0)","void matrixMulCUDA<int=4>(float*, float*, float*, int, int)",2,"inst_executed","Instructions Executed",23244800,23244800,23244800
