==10342== NVPROF is profiling process 10342, command: ./mergeSort
==10342== Profiling application: ./mergeSort
==10342== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,GB/s,,,,
570.866777,2.752562,,,,,,,,,,16.000000,5.676530,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
573.723085,2.737937,,,,,,,,,,16.000000,5.706852,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
576.569312,2.299050,32768,1,1,64,1,1,16,1.000000,0,,,"GeForce GTX 950 (0)","1","7","void mergeSortSharedKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int) [223]"
578.870826,0.229892,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 950 (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [232]"
579.102958,0.004864,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [240]"
579.109678,0.003936,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [248]"
579.115758,1.004530,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 950 (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [259]"
580.122272,0.170051,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 950 (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [270]"
580.294307,0.005376,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [278]"
580.301571,0.005249,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [286]"
580.308932,1.075059,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 950 (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [297]"
581.385879,0.137315,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 950 (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [308]"
581.525082,0.006592,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [316]"
581.533594,0.006240,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 950 (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [324]"
581.541978,1.103380,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 950 (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [335]"
582.647246,0.157059,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 950 (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [346]"
