==21977== NVPROF is profiling process 21977, command: ./quasirandomGenerator
==21977== Profiling application: ./quasirandomGenerator
==21977== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,B,MB,GB/s,,,,
0.573237,0.000961,,,,,,,,,,0.000355,0.360512,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
0.573263,0.131425,,,,,,,,,,12.000000,89.166825,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
0.573396,0.311266,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [212]"
0.573723,0.310914,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [219]"
0.574036,0.312771,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [225]"
0.574350,0.312034,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [231]"
0.574665,0.309730,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [237]"
0.574977,0.312418,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [243]"
0.575291,0.310595,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [249]"
0.575604,0.312002,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [255]"
0.575918,0.310914,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [261]"
0.576231,0.314082,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [267]"
0.576547,0.312834,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 950 (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [273]"
