==24840== NVPROF is profiling process 24840, command: ./reduction
==24840== Profiling application: ./reduction
==24840== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,KB,MB,GB/s,,,,
786.424120,11.004527,,,,,,,,,,64.000000,5.679481,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
797.438023,0.000672,,,,,,,,,,0.000244,0.354790,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
797.468359,0.764102,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [216]"
798.250285,0.761445,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [222]"
799.013778,0.684901,,,,,,,,,,64.000000,91.254064,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
799.700887,0.001696,,,,,,,,,,0.000244,0.140577,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
799.705047,0.002336,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [232]"
799.724791,0.768134,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [239]"
800.494973,0.684133,,,,,,,,,,64.000000,91.356505,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
801.181058,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
801.184610,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [249]"
801.203938,0.768549,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [256]"
801.974567,0.683941,,,,,,,,,,64.000000,91.382151,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
802.660620,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
802.664172,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [266]"
802.681228,0.766150,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [273]"
803.449426,0.684325,,,,,,,,,,64.000000,91.330873,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
804.135703,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
804.139255,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [283]"
804.155767,0.766533,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [290]"
804.924348,0.684165,,,,,,,,,,64.000000,91.352232,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
805.610433,0.001408,,,,,,,,,,0.000244,0.169331,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
805.614017,0.001760,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [300]"
805.632353,0.767558,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [307]"
806.401959,0.684133,,,,,,,,,,64.000000,91.356505,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
807.088044,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
807.091596,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [317]"
807.108748,0.777862,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [324]"
807.888658,0.684100,,,,,,,,,,64.000000,91.360912,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
808.574710,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
808.578262,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [334]"
808.599095,0.772581,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [341]"
809.373724,0.684325,,,,,,,,,,64.000000,91.330873,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
810.060001,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
810.063553,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [351]"
810.081057,0.756806,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [358]"
810.839943,0.684357,,,,,,,,,,64.000000,91.326603,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
811.526284,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
811.529836,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [368]"
811.547116,0.768901,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [375]"
812.318065,0.684037,,,,,,,,,,64.000000,91.369327,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
813.004054,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
813.007606,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [385]"
813.026134,0.770438,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [392]"
813.798620,0.683941,,,,,,,,,,64.000000,91.382151,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
814.484513,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
814.488065,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [402]"
814.504961,0.767813,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [409]"
815.274886,0.683941,,,,,,,,,,64.000000,91.382151,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
815.960779,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
815.964331,0.001760,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [419]"
815.981675,0.764294,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [426]"
816.748017,0.683973,,,,,,,,,,64.000000,91.377876,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
817.433974,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
817.437494,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [436]"
817.455926,0.761125,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [443]"
818.219131,0.684421,,,,,,,,,,64.000000,91.318063,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
818.905536,0.001344,,,,,,,,,,0.000244,0.177395,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
818.909088,0.001888,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [453]"
818.925760,0.761222,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [460]"
819.689030,0.683973,,,,,,,,,,64.000000,91.377876,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
820.374955,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
820.378539,0.001760,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [470]"
820.394667,0.768293,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [477]"
821.165008,0.684485,,,,,,,,,,64.000000,91.309525,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
821.851477,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
821.855029,0.001760,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [487]"
821.872661,0.755622,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [494]"
822.630331,0.684357,,,,,,,,,,64.000000,91.326603,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
823.316736,0.001408,,,,,,,,,,0.000244,0.169331,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
823.320320,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [504]"
823.336896,0.777829,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [511]"
824.116805,0.684165,,,,,,,,,,64.000000,91.352232,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
824.802922,0.001440,,,,,,,,,,0.000244,0.165568,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
824.806570,0.001888,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [521]"
824.823978,0.776070,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [528]"
825.602096,0.684165,,,,,,,,,,64.000000,91.352232,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
826.288213,0.001408,,,,,,,,,,0.000244,0.169331,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
826.291797,0.001760,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [538]"
826.308437,0.763205,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [545]"
827.073723,0.684260,,,,,,,,,,64.000000,91.339549,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
827.759935,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
827.763487,0.001792,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [555]"
827.780160,0.761157,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 950 (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [562]"
828.543365,0.684261,,,,,,,,,,64.000000,91.339416,"GeForce GTX 950 (0)","1","7","[CUDA memset]"
829.229578,0.001376,,,,,,,,,,0.000244,0.173269,"GeForce GTX 950 (0)","1","7","[CUDA memcpy DtoD]"
