==29146== NVPROF is profiling process 29146, command: ./scan
==29146== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29146== Profiling application: ./scan
==29146== Profiling result:
==29146== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"sm_efficiency","Multiprocessor Activity",72.555211%,81.481251%,76.576308%
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"achieved_occupancy","Achieved Occupancy",0.479936,0.514476,0.494835
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"ipc","Executed IPC",0.077585,0.131225,0.113148
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"issued_ipc","Issued IPC",0.088967,0.149394,0.119682
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"inst_per_warp","Instructions per warp",49.000000,49.000000,49.000000
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",93.877551%,93.877551%,93.877551%
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"inst_replay_overhead","Instruction Replay Overhead",0.061224,0.061224,0.061224
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"issue_slot_utilization","Issue Slot Utilization",1.924769%,3.232089%,2.589271%
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gld_transactions_per_request","Global Load Transactions Per Request",32.000000,32.000000,32.000000
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"shared_store_transactions","Shared Store Transactions",1248,1248,1248
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"shared_load_transactions","Shared Load Transactions",1248,1248,1248
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gld_transactions","Global Load Transactions",13312,13312,13312
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gst_transactions","Global Store Transactions",832,832,832
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"dram_read_transactions","Device Memory Read Transactions",13174,13289,13201
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"dram_write_transactions","Device Memory Write Transactions",3387,5971,4209
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gld_requested_throughput","Requested Global Load Throughput",3.861330GB/s,4.221235GB/s,4.071742GB/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gst_requested_throughput","Requested Global Store Throughput",1.930665GB/s,2.110617GB/s,2.034940GB/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gld_throughput","Global Load Throughput",30.890642GB/s,33.769877GB/s,32.579526GB/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gst_throughput","Global Store Throughput",1.930665GB/s,2.110617GB/s,2.034940GB/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"dram_read_throughput","Device Memory Read Throughput",30.658591GB/s,33.424872GB/s,32.309443GB/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"dram_write_throughput","Device Memory Write Throughput",8.170331GB/s,14.350780GB/s,10.302290GB/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"tex_cache_throughput","Unified Cache Throughput",3.861330GB/s,4.221235GB/s,4.071742GB/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"shared_load_throughput","Shared Memory Load Throughput",11.583991GB/s,12.663704GB/s,12.216158GB/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"shared_store_throughput","Shared Memory Store Throughput",11.583991GB/s,12.663704GB/s,12.216158GB/s
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gld_efficiency","Global Memory Load Efficiency",12.500000%,12.500000%,12.500000%
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"tex_cache_transactions","Unified Cache Transactions",1664,1664,1664
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"tex_fu_utilization","Texture Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",100,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
