==29130== NVPROF is profiling process 29130, command: ./scan
==29130== Profiling application: ./scan
==29130== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,GB/s,,,,
656.426186,4.456795,,,,,,,,,,26.000000,5.697059,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
660.991462,0.584228,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [213]"
661.578154,0.581571,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [219]"
662.161869,0.581636,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [225]"
662.745681,0.582211,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [231]"
663.330260,0.582020,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [237]"
663.914424,0.582276,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [243]"
664.498876,0.581475,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [249]"
665.082527,0.581412,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [255]"
665.666083,0.581667,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [261]"
666.249894,0.581092,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [267]"
666.833130,0.581636,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [273]"
667.416910,0.581955,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [279]"
668.001009,0.580996,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [285]"
668.584149,0.581859,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [291]"
669.168152,0.581156,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [297]"
669.751452,0.581508,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [303]"
670.335232,0.581795,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [309]"
670.919171,0.581540,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [315]"
671.502855,0.581539,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [321]"
672.086538,0.581636,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [327]"
672.670350,0.581763,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [333]"
673.254257,0.581828,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [339]"
673.838229,0.581156,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [345]"
674.421529,0.581315,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [351]"
675.004988,0.581156,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [357]"
675.588320,0.581507,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [363]"
676.171971,0.582532,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [369]"
676.756647,0.581828,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [375]"
677.340619,0.581411,6656,1,1,256,1,1,14,2.000000,0,,,"GeForce GTX 950 (0)","1","7","scanExclusiveShared(uint4*, uint4*, unsigned int) [381]"
