==1100== NVPROF is profiling process 1100, command: ./shfl_scan
==1100== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1100== Profiling application: ./shfl_scan
==1100== Profiling result:
==1100== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"sm_efficiency","Multiprocessor Activity",97.129223%,97.129223%,97.129223%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"achieved_occupancy","Achieved Occupancy",0.893587,0.893587,0.893587
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"ipc","Executed IPC",1.951054,1.951054,1.951054
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"issued_ipc","Issued IPC",1.986769,1.986769,1.986769
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"inst_per_warp","Instructions per warp",373.500000,373.500000,373.500000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"warp_execution_efficiency","Warp Execution Efficiency",89.190094%,89.190094%,89.190094%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",74.163324%,74.163324%,74.163324%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000439,0.000439,0.000439
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"issue_slot_utilization","Issue Slot Utilization",42.790391%,42.790391%,42.790391%
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.800000,0.800000,0.800000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",15.000000,15.000000,15.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",15.000000,15.000000,15.000000
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"shared_store_transactions","Shared Store Transactions",4320,4320,4320
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"shared_load_transactions","Shared Load Transactions",4320,4320,4320
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"gld_transactions","Global Load Transactions",64800,64800,64800
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"gst_transactions","Global Store Transactions",259200,259200,259200
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"dram_read_transactions","Device Memory Read Transactions",64808,64808,64808
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"dram_write_transactions","Device Memory Write Transactions",258548,258548,258548
"GeForce GTX 950 (0)","shfl_intimage_rows(uint4*, uint4*)",1,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
