==3170== NVPROF is profiling process 3170, command: ./simpleHyperQ
==3170== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3170== Profiling application: ./simpleHyperQ
==3170== Profiling result:
==3170== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"sm_efficiency","Multiprocessor Activity",16.703784%,16.803002%,16.713036%
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"achieved_occupancy","Achieved Occupancy",0.015625,0.015625,0.015625
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"ipc","Executed IPC",0.124974,0.124978,0.124976
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"issued_ipc","Issued IPC",0.124975,0.124978,0.124977
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"inst_per_warp","Instructions per warp",1740367.000000,1740379.000000,1740378.250000
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"warp_execution_efficiency","Warp Execution Efficiency",3.124998%,3.125002%,3.125000%
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",3.124995%,3.124998%,3.124996%
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"inst_replay_overhead","Instruction Replay Overhead",0.000001,0.000001,0.000001
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"issue_slot_utilization","Issue Slot Utilization",2.603647%,2.603706%,2.603690%
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"gst_transactions","Global Store Transactions",1,1,1
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"dram_read_transactions","Device Memory Read Transactions",0,56,4
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"dram_write_transactions","Device Memory Write Transactions",0,10,0
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"gst_requested_throughput","Requested Global Store Throughput",830.000000B/s,835.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"gst_throughput","Global Store Throughput",3.243164KB/s,3.264648KB/s,0.000000B/s
"GeForce GTX 950 (0)","kernel_A(long*, long)",32,"dram_read_throughput","Device Memory Read Throughput",0.000000B/s,182.831055KB/s,0.000000B/s
