==3158== NVPROF is profiling process 3158, command: ./simpleHyperQ
==3158== Profiling application: ./simpleHyperQ
==3158== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,B,B,MB/s,,,,
574.622618,11.633588,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","13","kernel_A(long*, long) [246]"
574.637082,11.680469,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","14","kernel_A(long*, long) [254]"
574.651034,11.633108,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","15","kernel_A(long*, long) [262]"
574.660730,11.680533,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","16","kernel_A(long*, long) [270]"
574.672890,11.632949,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","17","kernel_A(long*, long) [278]"
574.681722,11.680438,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","18","kernel_A(long*, long) [286]"
574.691227,11.632724,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","19","kernel_A(long*, long) [294]"
574.702619,11.680181,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","20","kernel_A(long*, long) [302]"
574.714683,11.632692,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","21","kernel_A(long*, long) [310]"
574.727995,11.680149,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","22","kernel_A(long*, long) [318]"
574.742491,11.632661,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","23","kernel_A(long*, long) [326]"
574.745659,11.680150,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","24","kernel_A(long*, long) [334]"
574.762268,11.632692,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","25","kernel_A(long*, long) [342]"
574.780028,11.680181,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","26","kernel_A(long*, long) [350]"
574.783228,11.632661,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","27","kernel_A(long*, long) [358]"
574.803292,11.680182,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","28","kernel_A(long*, long) [366]"
574.806588,11.632661,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","29","kernel_A(long*, long) [374]"
574.809820,11.680182,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","30","kernel_A(long*, long) [382]"
574.833405,11.632660,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","31","kernel_A(long*, long) [390]"
574.836637,11.680213,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","32","kernel_A(long*, long) [398]"
574.862429,11.632693,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","33","kernel_A(long*, long) [406]"
574.865821,11.680246,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","34","kernel_A(long*, long) [414]"
574.869149,11.632693,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","35","kernel_A(long*, long) [422]"
574.897758,11.680149,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","36","kernel_A(long*, long) [430]"
574.901246,11.632692,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","37","kernel_A(long*, long) [438]"
574.904542,11.680213,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","38","kernel_A(long*, long) [446]"
574.936798,11.632725,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","39","kernel_A(long*, long) [454]"
574.940030,11.680214,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","40","kernel_A(long*, long) [462]"
574.943391,11.633044,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","41","kernel_A(long*, long) [470]"
574.946783,11.680213,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","42","kernel_A(long*, long) [478]"
574.983743,11.632789,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","43","kernel_A(long*, long) [486]"
574.986431,11.680213,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","44","kernel_A(long*, long) [494]"
586.291279,11.633620,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","13","kernel_B(long*, long) [250]"
586.293583,11.633620,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","15","kernel_B(long*, long) [266]"
586.327727,11.633589,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","14","kernel_B(long*, long) [258]"
586.329935,11.633461,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","17","kernel_B(long*, long) [282]"
586.332463,11.678965,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","19","kernel_B(long*, long) [298]"
586.361680,11.633396,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","16","kernel_B(long*, long) [274]"
586.365136,11.678965,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","21","kernel_B(long*, long) [314]"
586.392016,11.633429,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","18","kernel_B(long*, long) [290]"
586.393808,11.678933,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","20","kernel_B(long*, long) [306]"
586.396016,11.633397,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","23","kernel_B(long*, long) [330]"
586.398448,11.678773,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","25","kernel_B(long*, long) [346]"
586.421297,11.633428,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","22","kernel_B(long*, long) [322]"
586.424849,11.678773,1,1,1,1,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","27","kernel_B(long*, long) [362]"
