==12205== NVPROF is profiling process 12205, command: ./threadFenceReduction
==12205== Profiling application: ./threadFenceReduction
==12205== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,MB,GB/s,,,,
588.973738,689.667000,,,,,,,,,,4.000000,5.663965,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
589.671149,0.704000,,,,,,,,,,0.000244,0.338663,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
589.694125,52.448000,64,1,1,128,1,1,10,0,512,,,"GeForce GTX 950 (0)","1","7","void reduceMultiPass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [213]"
589.752877,0.768000,,,,,,,,,,0.000004,0.004851,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
589.772685,47.713000,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 950 (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [221]"
589.830574,0.608000,,,,,,,,,,0.000004,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
589.843086,47.200000,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 950 (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [231]"
589.899630,0.608000,,,,,,,,,,0.000004,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
589.912110,46.784000,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 950 (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [241]"
589.968046,0.608000,,,,,,,,,,0.000004,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
589.980142,47.169000,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 950 (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [251]"
590.037487,0.608000,,,,,,,,,,0.000004,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
590.049487,48.576000,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 950 (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [261]"
590.108047,0.608000,,,,,,,,,,0.000004,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
590.120143,47.552000,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 950 (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [271]"
590.177263,0.608000,,,,,,,,,,0.000004,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
590.189519,47.425000,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 950 (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [281]"
590.246608,0.608000,,,,,,,,,,0.000004,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
590.258704,47.744000,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 950 (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [291]"
590.316016,0.608000,,,,,,,,,,0.000004,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
590.327888,47.296000,64,1,1,128,1,1,15,16,512,,,"GeForce GTX 950 (0)","1","7","void reduceSinglePass<unsigned int=128, bool=1>(float const *, float*, unsigned int) [301]"
590.387216,0.608000,,,,,,,,,,0.000004,0.006127,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
