==13930== NVPROF is profiling process 13930, command: ./transpose
==13930== Profiling application: ./transpose
==13930== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,KB,B,MB,GB/s,,,,
576.071575,671.683000,,,,,,,,,,4.000000,5.815615,"GeForce GTX 950 (0)","1","7","[CUDA memcpy HtoD]"
588.053204,97.376000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [217]"
588.154164,94.369000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [224]"
588.250709,94.848000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [231]"
588.347701,95.201000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [238]"
588.445046,94.976000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [245]"
588.542166,93.505000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [252]"
588.637815,94.080000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [259]"
588.734071,93.281000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [266]"
588.829560,93.504000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [273]"
588.925208,93.537000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [280]"
589.020889,93.024000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [287]"
589.116089,93.281000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [294]"
589.211514,93.344000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [301]"
589.307002,93.537000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [308]"
589.402683,94.368000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [315]"
589.499227,93.633000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [322]"
589.595004,92.800000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [329]"
589.689948,93.537000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [336]"
589.785629,94.400000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [343]"
589.882173,93.505000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [350]"
589.977854,93.824000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [357]"
590.073822,94.145000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [364]"
590.170111,93.792000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [371]"
590.266047,94.176000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [378]"
590.362559,93.985000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [385]"
590.458688,93.664000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [392]"
590.554496,93.025000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [399]"
590.649665,93.376000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [406]"
590.745185,94.145000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [413]"
590.841474,93.600000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [420]"
590.937218,94.177000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [427]"
591.033539,92.960000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [434]"
591.128739,94.177000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [441]"
591.225092,93.408000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [448]"
591.320644,94.145000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [455]"
591.416933,93.824000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [462]"
591.512901,93.569000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [469]"
591.608646,93.696000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [476]"
591.704486,94.145000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [483]"
591.800775,93.824000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [490]"
591.896775,93.089000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [497]"
591.992040,93.280000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [504]"
592.087464,92.769000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [511]"
592.182377,93.536000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [518]"
592.278089,93.985000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [525]"
592.374218,93.312000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [532]"
592.469674,93.569000,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 950 (0)","1","7","copy(float*, float*, int, int) [539]"
